col_name,NA_count
amenities,2518
prop_management_company_name,1363
parking_type,350
no_barrier_free_accessible_units,154
no_of_accessible_parking_spaces,123
exterior_fire_escape,95
non-smoking_building,94
intercom,90
pets_allowed,90
year_registered,89
balconies,88
locker_or_storage_room,88
separate_gas_meters,88
cooling_room,88
fire_alarm,87
separate_hydro_meters,87
separate_water_meters,87
sprinkler_system,87
visitor_parking,87
heating_type,86
emergency_power,86
air_conditioning,85
laundry_room,85
garbage_chutes,83
barrier_free_accessibilty_entr,82
year_built,13
window_type,8
no_of_elevators,5
id,0
bike_parking,0
property_type,0
rsn,0
site_address,0
ward,0
no_of_storeys,0
no_of_units,0
facilities_available,0
